sample_rate_hz,mode,frequency_hz,measured_db,target_db,error_db,phase_deg
176400,F/L,125,4.75519841911,4.75519841911,-2.03392858111e-13,-15.7397401129
176400,F/L,250,3,3,-1.58095758707e-13,-19.4071508584
176400,F/L,500,1.24477298116,1.24477298116,-3.01980662698e-14,-15.7396066576
176400,F/L,1000,0.376360587812,0.376360587812,-9.21485110439e-15,-9.41242844267
176400,F/L,2500,0.0640052654224,0.0640052654224,-1.91513471748e-15,-3.98802674318
176400,F/L,5000,0.0160863272263,0.0160863272264,-5.77315972805e-15,-2.00736623475
176400,F/L,8000,0.0062436045583,0.00624360455831,-1.7346367398e-14,-1.25162194388
176400,F/L,10000,0.00396697226931,0.00396697226936,-5.39776556785e-14,-0.997855416791
176400,F/H,20,2.98074376196,2.98074376196,-4.35207425653e-14,-1.42150619415
176400,F/H,40,2.92451505739,2.92451505739,-1.54098955818e-13,-2.78166061441
176400,F/H,80,2.72037246251,2.72037246251,-2.48245868306e-13,-5.11818020153
176400,F/H,125,2.40192982836,2.40192982836,-1.15463194561e-13,-6.91339141677
176400,F/H,250,1.53023992959,1.53023992959,-1.06581410364e-13,-7.87876234519
176400,F/H,500,0.722960242222,0.722960242222,-1.47215573065e-13,-4.0878051182
176400,F/H,1000,0.597874202517,0.597874202517,8.10462807976e-14,2.15395698154
176400,F/H,2500,1.53023992959,1.53023992959,1.31006316906e-14,7.87876234519
176400,F/H,5000,2.40380160109,2.40380160109,-3.37507799486e-14,6.90605801195
176400,F/H,8000,2.73506626898,2.73506626898,1.99840144433e-14,4.99875198197
176400,F/H,10000,2.82581418979,2.82581418979,1.55431223448e-14,4.1366458763
176400,C/L,20,2.98054819376,2.98054819376,-2.53130849615e-14,-1.58049265304
176400,C/L,40,2.92373294338,2.92373294338,-1.7852386236e-13,-3.09957017141
176400,C/L,80,2.71724654448,2.71724654448,-2.34479102801e-13,-5.75349295283
176400,C/L,125,2.39431007171,2.39431007171,-8.21565038223e-14,-7.90455068464
176400,C/L,250,1.5,1.5,-1.28341781647e-13,-9.84581257241
176400,C/L,500,0.605675644959,0.605675644959,-6.48370246381e-14,-7.90448105983
176400,C/L,1000,0.179356724238,0.179356724238,5.8564264549e-14,-4.66870583412
176400,C/L,2500,0.0302399295861,0.0302399295861,3.84414722276e-14,-1.96705022722
176400,C/L,5000,0.00758969098608,0.00758969098613,-4.81741382896e-14,-0.989206870649
176400,C/L,8000,0.00294495750189,0.00294495750189,0,-0.61666799284
176400,C/L,10000,0.00187100174958,0.00187100174962,-3.47083473073e-14,-0.491616887051
176400,C/H,20,0.000195568198449,0.000195568198446,3.85721185894e-15,0.15898645889
176400,C/H,40,0.00078211400322,0.00078211400321,9.64224360078e-15,0.317909556992
176400,C/H,80,0.00312591803494,0.00312591803493,1.92814514355e-15,0.635312751304
176400,C/H,125,0.00761975665613,0.00761975665612,7.70737640376e-15,0.991159267875
176400,C/H,250,0.0302399295861,0.0302399295861,-1.72951930555e-14,1.96705022722
176400,C/H,500,0.117284597263,0.117284597263,1.71251901548e-14,3.81667594164
176400,C/H,1000,0.418517478278,0.418517478278,9.21485110439e-15,6.82266281566
176400,C/H,2500,1.5,1.5,-8.21565038223e-15,9.84581257241
176400,C/H,5000,2.3962119101,2.3962119101,0,7.8952648826
176400,C/H,8000,2.73212131148,2.73212131148,8.43769498715e-15,5.61541997481
176400,C/H,10000,2.82394318804,2.82394318804,3.99680288865e-15,4.62826276335
176400,T/L,20,-2.98035262557,-2.98035262557,3.64153152077e-14,1.73947911193
176400,T/L,40,-2.92295082938,-2.92295082938,6.08402217495e-14,3.4174797284
176400,T/L,80,-2.71412062644,-2.71412062644,1.86517468137e-14,6.38880570413
176400,T/L,125,-2.38669031505,-2.38669031505,7.46069872548e-14,8.89570995252
176400,T/L,250,-1.46976007041,-1.46976007041,1.11022302463e-15,11.8128627996
176400,T/L,500,-0.488391047696,-0.488391047696,1.73194791842e-14,11.7211570015
176400,T/L,1000,0.23916075404,0.23916075404,4.87665463567e-14,11.4913686498
176400,T/L,2500,1.46976007041,1.46976007041,1.46549439251e-14,11.8128627996
176400,T/L,5000,2.38862221912,2.38862221912,4.52970994047e-14,8.88447175325
176400,T/L,8000,2.72917635398,2.72917635398,1.15463194561e-14,6.23208796765
176400,T/L,10000,2.8220721863,2.8220721863,-1.24344978758e-14,5.11987965041
176400,T/H,20,-5.95838706524,-5.95838706524,-5.3290705182e-15,3.52842622654
176400,T/H,40,-5.83735846628,-5.83735846628,2.6645352591e-15,6.91807490493
176400,T/H,80,-5.40333434532,-5.40333434532,6.57252030578e-14,12.848456422
176400,T/H,125,-4.73904839749,-4.73904839749,1.59872115546e-13,17.7510658238
176400,T/H,250,-2.93599473458,-2.93599473458,7.14983627859e-14,23.3951776016
176400,T/H,500,-0.997800392115,-0.997800392115,3.45279360658e-14,23.451633401
176400,T/H,1000,0.491073761698,0.491073761698,2.3758772727e-14,23.0632709957
176400,T/H,2500,2.93599473458,2.93599473458,5.3290705182e-15,23.3951776016
176400,T/H,5000,4.74292041639,4.74292041639,2.6645352591e-15,17.7293063891
176400,T/H,8000,5.4343224963,5.4343224963,-5.3290705182e-15,12.5386755378
176400,T/H,10000,5.62652931471,5.62652931471,-1.42108547152e-14,10.3298373312
192000,F/L,20,5.95880167569,5.95880167569,4.61852778244e-14,-3.20570584936
192000,F/L,40,5.83901653307,5.83901653307,-3.28626015289e-14,-6.27277773004
192000,F/L,80,5.40996056027,5.40996056027,5.50670620214e-14,-11.5590100932
